"global_step","HR-PPO - _step","HR-PPO - _step__MIN","HR-PPO - _step__MAX","HR-PPO - rollout/perc_off_road","HR-PPO - rollout/perc_off_road__MIN","HR-PPO - rollout/perc_off_road__MAX","PPO - _step","PPO - _step__MIN","PPO - _step__MAX","PPO - rollout/perc_off_road","PPO - rollout/perc_off_road__MIN","PPO - rollout/perc_off_road__MAX"
"940790","","","","","","","84","84","84","12.212817192077637","12.212817192077637","12.212817192077637"
"957678","88","88","88","5.444645881652832","5.444645881652832","5.444645881652832","","","","","",""
"965511","","","","","","","86","86","86","13.02774429321289","13.02774429321289","13.02774429321289"
"983315","90","90","90","6.609195232391357","6.609195232391357","6.609195232391357","","","","","",""
"990214","","","","","","","88","88","88","10.370369911193848","10.370369911193848","10.370369911193848"
"1009607","92","92","92","6.176470756530762","6.176470756530762","6.176470756530762","","","","","",""
"1011303","","","","","","","90","90","90","11.33144474029541","11.33144474029541","11.33144474029541"
"1033543","94","94","94","7.3065900802612305","7.3065900802612305","7.3065900802612305","","","","","",""
"1039199","","","","","","","92","92","92","8.916478157043457","8.916478157043457","8.916478157043457"
"1051207","96","96","96","11.812626838684082","11.812626838684082","11.812626838684082","","","","","",""
"1062800","","","","","","","94","94","94","10.889774322509766","10.889774322509766","10.889774322509766"
"1081779","98","98","98","5.861664772033691","5.861664772033691","5.861664772033691","","","","","",""
"1091603","","","","","","","96","96","96","9.032258033752441","9.032258033752441","9.032258033752441"
"1098699","100","100","100","9.31174087524414","9.31174087524414","9.31174087524414","","","","","",""
"1117930","","","","","","","98","98","98","10.43376350402832","10.43376350402832","10.43376350402832"
"1118523","102","102","102","8.957952499389648","8.957952499389648","8.957952499389648","","","","","",""
"1141931","104","104","104","6.122448921203613","6.122448921203613","6.122448921203613","","","","","",""
"1147083","","","","","","","100","100","100","7.794871807098389","7.794871807098389","7.794871807098389"
"1163564","106","106","106","7.7544426918029785","7.7544426918029785","7.7544426918029785","","","","","",""
"1169250","","","","","","","102","102","102","11.170928955078125","11.170928955078125","11.170928955078125"
"1191781","108","108","108","7.207207202911377","7.207207202911377","7.207207202911377","","","","","",""
"1195181","","","","","","","104","104","104","10.12956428527832","10.12956428527832","10.12956428527832"
"1214687","110","110","110","6.25","6.25","6.25","","","","","",""
"1215258","","","","","","","106","106","106","12.584573745727539","12.584573745727539","12.584573745727539"
"1233651","112","112","112","10.557768821716309","10.557768821716309","10.557768821716309","","","","","",""
"1243603","","","","","","","108","108","108","9.443861961364746","9.443861961364746","9.443861961364746"
"1261749","114","114","114","6.233766078948975","6.233766078948975","6.233766078948975","","","","","",""
"1269949","","","","","","","110","110","110","7.375271320343018","7.375271320343018","7.375271320343018"
"1286313","116","116","116","6.422018527984619","6.422018527984619","6.422018527984619","","","","","",""
"1292149","","","","","","","112","112","112","11.54328727722168","11.54328727722168","11.54328727722168"
"1313074","118","118","118","9.801324844360352","9.801324844360352","9.801324844360352","","","","","",""
"1317217","","","","","","","114","114","114","11.12385368347168","11.12385368347168","11.12385368347168"
"1339787","","","","","","","116","116","116","10.65989875793457","10.65989875793457","10.65989875793457"
"1342961","120","120","120","3.6764705181121826","3.6764705181121826","3.6764705181121826","","","","","",""
"1369057","122","122","122","6.789250373840332","6.789250373840332","6.789250373840332","","","","","",""
"1376254","","","","","","","118","118","118","8.740978240966797","8.740978240966797","8.740978240966797"
"1392256","124","124","124","6.003159523010254","6.003159523010254","6.003159523010254","","","","","",""
"1394868","","","","","","","120","120","120","12.631579399108887","12.631579399108887","12.631579399108887"
"1411314","126","126","126","7.645875453948975","7.645875453948975","7.645875453948975","","","","","",""
"1421903","","","","","","","122","122","122","7.104984283447266","7.104984283447266","7.104984283447266"
"1435132","128","128","128","8.095237731933594","8.095237731933594","8.095237731933594","","","","","",""
"1449902","","","","","","","124","124","124","9.53878402709961","9.53878402709961","9.53878402709961"
"1452760","130","130","130","7.098121166229248","7.098121166229248","7.098121166229248","","","","","",""
"1475488","132","132","132","6.721311569213867","6.721311569213867","6.721311569213867","","","","","",""
"1478568","","","","","","","126","126","126","8.947885513305664","8.947885513305664","8.947885513305664"
"1495687","134","134","134","6.9981584548950195","6.9981584548950195","6.9981584548950195","","","","","",""
"1503928","","","","","","","128","128","128","9.491525650024414","9.491525650024414","9.491525650024414"
"1523128","136","136","136","7.123287677764893","7.123287677764893","7.123287677764893","","","","","",""
"1531535","","","","","","","130","130","130","10.010427474975586","10.010427474975586","10.010427474975586"
"1551370","138","138","138","6.808510780334473","6.808510780334473","6.808510780334473","","","","","",""
"1555004","","","","","","","132","132","132","11.057107925415039","11.057107925415039","11.057107925415039"
"1578293","140","140","140","5.539358615875244","5.539358615875244","5.539358615875244","","","","","",""
"1578782","","","","","","","134","134","134","10.436893463134766","10.436893463134766","10.436893463134766"
"1601743","","","","","","","136","136","136","9.177592277526855","9.177592277526855","9.177592277526855"
"1605155","142","142","142","7.142857074737549","7.142857074737549","7.142857074737549","","","","","",""
"1627732","144","144","144","7.885906219482422","7.885906219482422","7.885906219482422","","","","","",""
"1628513","","","","","","","138","138","138","8.120133399963379","8.120133399963379","8.120133399963379"
"1649605","146","146","146","5.743243217468262","5.743243217468262","5.743243217468262","","","","","",""
"1651184","","","","","","","140","140","140","10.243277549743652","10.243277549743652","10.243277549743652"
"1672554","148","148","148","6.119162559509277","6.119162559509277","6.119162559509277","","","","","",""
"1673867","","","","","","","142","142","142","10.591133117675781","10.591133117675781","10.591133117675781"
"1695649","150","150","150","5.175292015075684","5.175292015075684","5.175292015075684","","","","","",""
"1703373","","","","","","","144","144","144","7","7","7"
"1718102","152","152","152","6.423611164093018","6.423611164093018","6.423611164093018","","","","","",""
"1728849","","","","","","","146","146","146","7.538280487060547","7.538280487060547","7.538280487060547"
"1743965","154","154","154","6.3328423500061035","6.3328423500061035","6.3328423500061035","","","","","",""
"1757084","","","","","","","148","148","148","7.876370906829834","7.876370906829834","7.876370906829834"
"1775644","","","","","","","150","150","150","11.818181991577148","11.818181991577148","11.818181991577148"
"1776897","156","156","156","5.942857265472412","5.942857265472412","5.942857265472412","","","","","",""
"1801331","158","158","158","5.305466175079346","5.305466175079346","5.305466175079346","","","","","",""
"1802733","","","","","","","152","152","152","7.545164585113525","7.545164585113525","7.545164585113525"
"1823599","160","160","160","5.834683895111084","5.834683895111084","5.834683895111084","","","","","",""
"1827808","","","","","","","154","154","154","8.816425323486328","8.816425323486328","8.816425323486328"
"1845282","162","162","162","7.872696876525879","7.872696876525879","7.872696876525879","","","","","",""
"1852574","","","","","","","156","156","156","7.819383144378662","7.819383144378662","7.819383144378662"
"1873307","","","","","","","158","158","158","10.160428047180176","10.160428047180176","10.160428047180176"
"1877128","164","164","164","6.097560882568359","6.097560882568359","6.097560882568359","","","","","",""
"1897617","166","166","166","8.317580223083496","8.317580223083496","8.317580223083496","","","","","",""
"1898185","","","","","","","160","160","160","7.752809047698975","7.752809047698975","7.752809047698975"
"1927468","","","","","","","162","162","162","6.896551609039307","6.896551609039307","6.896551609039307"
"1929591","168","168","168","5.4181389808654785","5.4181389808654785","5.4181389808654785","","","","","",""
"1950946","","","","","","","164","164","164","6.580493450164795","6.580493450164795","6.580493450164795"
"1959889","170","170","170","4.786545753479004","4.786545753479004","4.786545753479004","","","","","",""
"1972418","","","","","","","166","166","166","7.339449405670166","7.339449405670166","7.339449405670166"
"1987420","172","172","172","5.219780445098877","5.219780445098877","5.219780445098877","","","","","",""
"1992119","","","","","","","168","168","168","9.0014066696167","9.0014066696167","9.0014066696167"
"2013738","174","174","174","7.736389636993408","7.736389636993408","7.736389636993408","","","","","",""
"2018173","","","","","","","170","170","170","6.550218105316162","6.550218105316162","6.550218105316162"
"2035142","176","176","176","4.278074741363525","4.278074741363525","4.278074741363525","","","","","",""
"2048342","","","","","","","172","172","172","5.933014392852783","5.933014392852783","5.933014392852783"
"2051596","178","178","178","7.349666118621826","7.349666118621826","7.349666118621826","","","","","",""
"2071006","180","180","180","8.043875694274902","8.043875694274902","8.043875694274902","","","","","",""
"2076581","","","","","","","174","174","174","8.325074195861816","8.325074195861816","8.325074195861816"
"2090277","182","182","182","7.9051384925842285","7.9051384925842285","7.9051384925842285","","","","","",""
"2103162","","","","","","","176","176","176","8.062827110290527","8.062827110290527","8.062827110290527"
"2112639","184","184","184","6.724137783050537","6.724137783050537","6.724137783050537","","","","","",""
"2128861","","","","","","","178","178","178","7.002188205718994","7.002188205718994","7.002188205718994"
"2140418","186","186","186","6.91994571685791","6.91994571685791","6.91994571685791","","","","","",""
"2155786","","","","","","","180","180","180","6.720977783203125","6.720977783203125","6.720977783203125"
"2162211","188","188","188","7.758620738983154","7.758620738983154","7.758620738983154","","","","","",""
"2188695","190","190","190","5.982905864715576","5.982905864715576","5.982905864715576","","","","","",""
"2192202","","","","","","","182","182","182","5.971404552459717","5.971404552459717","5.971404552459717"
"2217309","","","","","","","184","184","184","7.335490703582764","7.335490703582764","7.335490703582764"
"2221939","192","192","192","3.9637598991394043","3.9637598991394043","3.9637598991394043","","","","","",""
"2243492","","","","","","","186","186","186","7.073955059051514","7.073955059051514","7.073955059051514"
"2251559","194","194","194","5.11140251159668","5.11140251159668","5.11140251159668","","","","","",""
"2268098","","","","","","","188","188","188","5.737704753875732","5.737704753875732","5.737704753875732"
"2276399","196","196","196","8.575803756713867","8.575803756713867","8.575803756713867","","","","","",""
"2292292","","","","","","","190","190","190","6.3106794357299805","6.3106794357299805","6.3106794357299805"
"2300027","198","198","198","5.448718070983887","5.448718070983887","5.448718070983887","","","","","",""
"2319078","","","","","","","192","192","192","6.815642356872559","6.815642356872559","6.815642356872559"
"2322014","200","200","200","7.035175800323486","7.035175800323486","7.035175800323486","","","","","",""
"2343490","","","","","","","194","194","194","6.323184967041016","6.323184967041016","6.323184967041016"
"2345951","202","202","202","7.603305816650391","7.603305816650391","7.603305816650391","","","","","",""
"2371140","","","","","","","196","196","196","7.754280090332031","7.754280090332031","7.754280090332031"
"2374210","204","204","204","5.652759075164795","5.652759075164795","5.652759075164795","","","","","",""
"2395259","206","206","206","7.282415866851807","7.282415866851807","7.282415866851807","","","","","",""
"2398776","","","","","","","198","198","198","7.317073345184326","7.317073345184326","7.317073345184326"
"2416297","208","208","208","6.3380279541015625","6.3380279541015625","6.3380279541015625","","","","","",""
"2422392","","","","","","","200","200","200","6.532663345336914","6.532663345336914","6.532663345336914"
"2443051","210","210","210","6.013986110687256","6.013986110687256","6.013986110687256","","","","","",""
"2444982","","","","","","","202","202","202","6.633291721343994","6.633291721343994","6.633291721343994"
"2469817","212","212","212","5.007153034210205","5.007153034210205","5.007153034210205","","","","","",""
"2472808","","","","","","","204","204","204","6.532663345336914","6.532663345336914","6.532663345336914"
"2493279","214","214","214","5.016180992126465","5.016180992126465","5.016180992126465","","","","","",""
"2495518","","","","","","","206","206","206","6.913580417633057","6.913580417633057","6.913580417633057"
"2517480","216","216","216","7.080924987792969","7.080924987792969","7.080924987792969","","","","","",""
"2524282","","","","","","","208","208","208","5.295315742492676","5.295315742492676","5.295315742492676"
"2545210","218","218","218","6.301369667053223","6.301369667053223","6.301369667053223","","","","","",""
"2551612","","","","","","","210","210","210","5.696202754974365","5.696202754974365","5.696202754974365"
"2573311","220","220","220","3.001364231109619","3.001364231109619","3.001364231109619","","","","","",""
"2581115","","","","","","","212","212","212","5.440158367156982","5.440158367156982","5.440158367156982"
"2598877","222","222","222","3.422619104385376","3.422619104385376","3.422619104385376","","","","","",""
"2611186","","","","","","","214","214","214","5.159474849700928","5.159474849700928","5.159474849700928"
"2625921","224","224","224","5.444126129150391","5.444126129150391","5.444126129150391","","","","","",""
"2633584","","","","","","","216","216","216","5.933250904083252","5.933250904083252","5.933250904083252"
"2652521","226","226","226","5.5397725105285645","5.5397725105285645","5.5397725105285645","","","","","",""
"2660251","","","","","","","218","218","218","5.251641273498535","5.251641273498535","5.251641273498535"
"2671405","228","228","228","7.083333492279053","7.083333492279053","7.083333492279053","","","","","",""
"2683470","","","","","","","220","220","220","7.54950475692749","7.54950475692749","7.54950475692749"
"2692270","230","230","230","5.871886253356934","5.871886253356934","5.871886253356934","","","","","",""
"2709431","","","","","","","222","222","222","6.0639472007751465","6.0639472007751465","6.0639472007751465"
"2710416","232","232","232","7.628866195678711","7.628866195678711","7.628866195678711","","","","","",""
"2731259","","","","","","","224","224","224","8.173690795898438","8.173690795898438","8.173690795898438"
"2737925","234","234","234","5.499276638031006","5.499276638031006","5.499276638031006","","","","","",""
"2753859","","","","","","","226","226","226","5.995203971862793","5.995203971862793","5.995203971862793"
"2763739","236","236","236","5.603448390960693","5.603448390960693","5.603448390960693","","","","","",""
"2787202","","","","","","","228","228","228","5.4592719078063965","5.4592719078063965","5.4592719078063965"
"2790898","238","238","238","5.6899003982543945","5.6899003982543945","5.6899003982543945","","","","","",""
"2808510","240","240","240","6.122448921203613","6.122448921203613","6.122448921203613","","","","","",""
"2809073","","","","","","","230","230","230","5.352797985076904","5.352797985076904","5.352797985076904"
