"global_step","HR-PPO - _step","HR-PPO - _step__MIN","HR-PPO - _step__MAX","HR-PPO - rollout/perc_goal_achieved","HR-PPO - rollout/perc_goal_achieved__MIN","HR-PPO - rollout/perc_goal_achieved__MAX","PPO - _step","PPO - _step__MIN","PPO - _step__MAX","PPO - rollout/perc_goal_achieved","PPO - rollout/perc_goal_achieved__MIN","PPO - rollout/perc_goal_achieved__MAX"
"845938","","","","","","","76","76","76","70.50897979736328","70.50897979736328","70.50897979736328"
"850535","78","78","78","78.3031997680664","78.3031997680664","78.3031997680664","","","","","",""
"869136","","","","","","","78","78","78","72.54901885986328","72.54901885986328","72.54901885986328"
"873514","80","80","80","78.28125","78.28125","78.28125","","","","","",""
"894325","82","82","82","82.88288116455078","82.88288116455078","82.88288116455078","","","","","",""
"896148","","","","","","","80","80","80","76.1427001953125","76.1427001953125","76.1427001953125"
"914554","","","","","","","82","82","82","73.69308471679688","73.69308471679688","73.69308471679688"
"921584","84","84","84","82.25584411621094","82.25584411621094","82.25584411621094","","","","","",""
"938704","86","86","86","80.76110076904297","80.76110076904297","80.76110076904297","","","","","",""
"940790","","","","","","","84","84","84","74.72793579101562","74.72793579101562","74.72793579101562"
"957678","88","88","88","82.03266906738281","82.03266906738281","82.03266906738281","","","","","",""
"965511","","","","","","","86","86","86","73.82388305664062","73.82388305664062","73.82388305664062"
"983315","90","90","90","79.74137878417969","79.74137878417969","79.74137878417969","","","","","",""
"990214","","","","","","","88","88","88","80.12345886230469","80.12345886230469","80.12345886230469"
"1009607","92","92","92","80.29412078857422","80.29412078857422","80.29412078857422","","","","","",""
"1011303","","","","","","","90","90","90","78.61190032958984","78.61190032958984","78.61190032958984"
"1033543","94","94","94","79.36962890625","79.36962890625","79.36962890625","","","","","",""
"1039199","","","","","","","92","92","92","80.58690643310547","80.58690643310547","80.58690643310547"
"1051207","96","96","96","80.6517333984375","80.6517333984375","80.6517333984375","","","","","",""
"1062800","","","","","","","94","94","94","76.09561920166016","76.09561920166016","76.09561920166016"
"1081779","98","98","98","80.3048095703125","80.3048095703125","80.3048095703125","","","","","",""
"1091603","","","","","","","96","96","96","78.17204284667969","78.17204284667969","78.17204284667969"
"1098699","100","100","100","80.9716567993164","80.9716567993164","80.9716567993164","","","","","",""
"1117930","","","","","","","98","98","98","76.90504455566406","76.90504455566406","76.90504455566406"
"1118523","102","102","102","79.34186553955078","79.34186553955078","79.34186553955078","","","","","",""
"1141931","104","104","104","83.51648712158203","83.51648712158203","83.51648712158203","","","","","",""
"1147083","","","","","","","100","100","100","79.07691955566406","79.07691955566406","79.07691955566406"
"1163564","106","106","106","80.93699645996094","80.93699645996094","80.93699645996094","","","","","",""
"1169250","","","","","","","102","102","102","77.2543716430664","77.2543716430664","77.2543716430664"
"1191781","108","108","108","81.59587860107422","81.59587860107422","81.59587860107422","","","","","",""
"1195181","","","","","","","104","104","104","78.32744598388672","78.32744598388672","78.32744598388672"
"1214687","110","110","110","85.15625","85.15625","85.15625","","","","","",""
"1215258","","","","","","","106","106","106","74.96617126464844","74.96617126464844","74.96617126464844"
"1233651","112","112","112","81.67330932617188","81.67330932617188","81.67330932617188","","","","","",""
"1243603","","","","","","","108","108","108","79.64323425292969","79.64323425292969","79.64323425292969"
"1261749","114","114","114","84.93506622314453","84.93506622314453","84.93506622314453","","","","","",""
"1269949","","","","","","","110","110","110","82.5379638671875","82.5379638671875","82.5379638671875"
"1286313","116","116","116","85.32109832763672","85.32109832763672","85.32109832763672","","","","","",""
"1292149","","","","","","","112","112","112","79.1718978881836","79.1718978881836","79.1718978881836"
"1313074","118","118","118","80.7947006225586","80.7947006225586","80.7947006225586","","","","","",""
"1317217","","","","","","","114","114","114","79.24311828613281","79.24311828613281","79.24311828613281"
"1339787","","","","","","","116","116","116","79.0609130859375","79.0609130859375","79.0609130859375"
"1342961","120","120","120","87.7450942993164","87.7450942993164","87.7450942993164","","","","","",""
