"global_step","HR-PPO - _step","HR-PPO - _step__MIN","HR-PPO - _step__MAX","HR-PPO - regularize/loss_ppo_weighted","HR-PPO - regularize/loss_ppo_weighted__MIN","HR-PPO - regularize/loss_ppo_weighted__MAX","PPO - _step","PPO - _step__MIN","PPO - _step__MAX","PPO - regularize/loss_ppo_weighted","PPO - regularize/loss_ppo_weighted__MIN","PPO - regularize/loss_ppo_weighted__MAX"
"30156","4","4","4","0.023953283205628395","0.023953283205628395","0.023953283205628395","","","","","",""
"30774","","","","","","","4","4","4","0.033574216067790985","0.033574216067790985","0.033574216067790985"
"49689","","","","","","","6","6","6","0.04303189739584923","0.04303189739584923","0.04303189739584923"
"51709","6","6","6","0.07115518301725388","0.07115518301725388","0.07115518301725388","","","","","",""
"67942","","","","","","","8","8","8","0.017820419743657112","0.017820419743657112","0.017820419743657112"
"71917","8","8","8","0.01515386626124382","0.01515386626124382","0.01515386626124382","","","","","",""
"88750","","","","","","","10","10","10","0.039927005767822266","0.039927005767822266","0.039927005767822266"
"93256","10","10","10","0.028864555060863495","0.028864555060863495","0.028864555060863495","","","","","",""
"108542","","","","","","","12","12","12","0.023946242406964302","0.023946242406964302","0.023946242406964302"
"113511","12","12","12","0.014475978910923004","0.014475978910923004","0.014475978910923004","","","","","",""
"129302","","","","","","","14","14","14","0.03373695909976959","0.03373695909976959","0.03373695909976959"
"130164","14","14","14","0.048286743462085724","0.048286743462085724","0.048286743462085724","","","","","",""
"148934","","","","","","","16","16","16","0.06332866847515106","0.06332866847515106","0.06332866847515106"
"149932","16","16","16","0.015770958736538887","0.015770958736538887","0.015770958736538887","","","","","",""
"169827","18","18","18","0.01913578435778618","0.01913578435778618","0.01913578435778618","","","","","",""
"171040","","","","","","","18","18","18","0.0569041408598423","0.0569041408598423","0.0569041408598423"
"186179","","","","","","","20","20","20","0.058722592890262604","0.058722592890262604","0.058722592890262604"
"190246","20","20","20","0.03589000925421715","0.03589000925421715","0.03589000925421715","","","","","",""
"209348","","","","","","","22","22","22","0.08131688088178635","0.08131688088178635","0.08131688088178635"
"217420","22","22","22","0.0497669018805027","0.0497669018805027","0.0497669018805027","","","","","",""
"233673","24","24","24","0.01689966768026352","0.01689966768026352","0.01689966768026352","","","","","",""
"235605","","","","","","","24","24","24","0.04638981446623802","0.04638981446623802","0.04638981446623802"
"253507","26","26","26","0.05484537035226822","0.05484537035226822","0.05484537035226822","","","","","",""
"256801","","","","","","","26","26","26","0.04543066769838333","0.04543066769838333","0.04543066769838333"
"275718","28","28","28","0.04050308093428612","0.04050308093428612","0.04050308093428612","","","","","",""
"276296","","","","","","","28","28","28","0.046627722680568695","0.046627722680568695","0.046627722680568695"
"296895","30","30","30","0.027903754264116287","0.027903754264116287","0.027903754264116287","","","","","",""
"300381","","","","","","","30","30","30","0.02212536707520485","0.02212536707520485","0.02212536707520485"
"320576","","","","","","","32","32","32","0.06662128865718842","0.06662128865718842","0.06662128865718842"
"321941","32","32","32","0.029221219941973686","0.029221219941973686","0.029221219941973686","","","","","",""
