"global_step","HR-PPO - _step","HR-PPO - _step__MIN","HR-PPO - _step__MAX","HR-PPO - rollout/ep_rew_mean_norm","HR-PPO - rollout/ep_rew_mean_norm__MIN","HR-PPO - rollout/ep_rew_mean_norm__MAX","PPO - _step","PPO - _step__MIN","PPO - _step__MAX","PPO - rollout/ep_rew_mean_norm","PPO - rollout/ep_rew_mean_norm__MIN","PPO - rollout/ep_rew_mean_norm__MAX"
"601939","56","56","56","0.682944118976593","0.682944118976593","0.682944118976593","","","","","",""
"610384","","","","","","","56","56","56","0.7006446123123169","0.7006446123123169","0.7006446123123169"
"625440","58","58","58","0.6484790444374084","0.6484790444374084","0.6484790444374084","","","","","",""
"632229","","","","","","","58","58","58","0.6698187589645386","0.6698187589645386","0.6698187589645386"
"638969","60","60","60","0.6597880721092224","0.6597880721092224","0.6597880721092224","","","","","",""
"657230","","","","","","","60","60","60","0.647559642791748","0.647559642791748","0.647559642791748"
"661367","62","62","62","0.6886724233627319","0.6886724233627319","0.6886724233627319","","","","","",""
"684001","64","64","64","0.7287573218345642","0.7287573218345642","0.7287573218345642","","","","","",""
"684031","","","","","","","62","62","62","0.7506834864616394","0.7506834864616394","0.7506834864616394"
"708210","66","66","66","0.7041358947753906","0.7041358947753906","0.7041358947753906","","","","","",""
"708645","","","","","","","64","64","64","0.6688026189804077","0.6688026189804077","0.6688026189804077"
"730891","68","68","68","0.6590433716773987","0.6590433716773987","0.6590433716773987","","","","","",""
"731029","","","","","","","66","66","66","0.6649572849273682","0.6649572849273682","0.6649572849273682"
"752686","","","","","","","68","68","68","0.7246586680412292","0.7246586680412292","0.7246586680412292"
"760147","70","70","70","0.7302089929580688","0.7302089929580688","0.7302089929580688","","","","","",""
"774598","","","","","","","70","70","70","0.7033724188804626","0.7033724188804626","0.7033724188804626"
"779935","72","72","72","0.7304500937461853","0.7304500937461853","0.7304500937461853","","","","","",""
"795146","","","","","","","72","72","72","0.713700532913208","0.713700532913208","0.713700532913208"
"801661","74","74","74","0.7624971270561218","0.7624971270561218","0.7624971270561218","","","","","",""
"823596","76","76","76","0.7706043720245361","0.7706043720245361","0.7706043720245361","","","","","",""
"825690","","","","","","","74","74","74","0.719659686088562","0.719659686088562","0.719659686088562"
"845938","","","","","","","76","76","76","0.6772108674049377","0.6772108674049377","0.6772108674049377"
"850535","78","78","78","0.7432938814163208","0.7432938814163208","0.7432938814163208","","","","","",""
"869136","","","","","","","78","78","78","0.6914252638816833","0.6914252638816833","0.6914252638816833"
"873514","80","80","80","0.7539511919021606","0.7539511919021606","0.7539511919021606","","","","","",""
"894325","82","82","82","0.8578640222549438","0.8578640222549438","0.8578640222549438","","","","","",""
"896148","","","","","","","80","80","80","0.6896877288818359","0.6896877288818359","0.6896877288818359"
"914554","","","","","","","82","82","82","0.7227877378463745","0.7227877378463745","0.7227877378463745"
"921584","84","84","84","0.8108632564544678","0.8108632564544678","0.8108632564544678","","","","","",""
"938704","86","86","86","0.7917290329933167","0.7917290329933167","0.7917290329933167","","","","","",""
"940790","","","","","","","84","84","84","0.7166964411735535","0.7166964411735535","0.7166964411735535"
"957678","88","88","88","0.8100894093513489","0.8100894093513489","0.8100894093513489","","","","","",""
"965511","","","","","","","86","86","86","0.7123249173164368","0.7123249173164368","0.7123249173164368"
"983315","90","90","90","0.7996222376823425","0.7996222376823425","0.7996222376823425","","","","","",""
"990214","","","","","","","88","88","88","0.7278035283088684","0.7278035283088684","0.7278035283088684"
"1009607","92","92","92","0.8109726309776306","0.8109726309776306","0.8109726309776306","","","","","",""
