"global_step","HR-PPO - _step","HR-PPO - _step__MIN","HR-PPO - _step__MAX","HR-PPO - regularize/pi_entropy","HR-PPO - regularize/pi_entropy__MIN","HR-PPO - regularize/pi_entropy__MAX","PPO - _step","PPO - _step__MIN","PPO - _step__MAX","PPO - regularize/pi_entropy","PPO - regularize/pi_entropy__MIN","PPO - regularize/pi_entropy__MAX"
"321941","32","32","32","4.405740261077881","4.405740261077881","4.405740261077881","","","","","",""
"342048","","","","","","","34","34","34","5.538846969604492","5.538846969604492","5.538846969604492"
"344595","34","34","34","3.9291248321533203","3.9291248321533203","3.9291248321533203","","","","","",""
"365774","","","","","","","36","36","36","5.582314968109131","5.582314968109131","5.582314968109131"
"366832","36","36","36","4.143729209899902","4.143729209899902","4.143729209899902","","","","","",""
"392027","38","38","38","3.9378199577331543","3.9378199577331543","3.9378199577331543","","","","","",""
"392384","","","","","","","38","38","38","5.478245735168457","5.478245735168457","5.478245735168457"
"412451","","","","","","","40","40","40","5.470577716827393","5.470577716827393","5.470577716827393"
"419085","40","40","40","3.543909788131714","3.543909788131714","3.543909788131714","","","","","",""
"435322","","","","","","","42","42","42","5.575835227966309","5.575835227966309","5.575835227966309"
"436470","42","42","42","3.0061728954315186","3.0061728954315186","3.0061728954315186","","","","","",""
"457211","","","","","","","44","44","44","5.541388034820557","5.541388034820557","5.541388034820557"
"461285","44","44","44","3.4312613010406494","3.4312613010406494","3.4312613010406494","","","","","",""
"484561","46","46","46","3.399001121520996","3.399001121520996","3.399001121520996","","","","","",""
"485463","","","","","","","46","46","46","5.557393550872803","5.557393550872803","5.557393550872803"
"508006","","","","","","","48","48","48","5.471932888031006","5.471932888031006","5.471932888031006"
"508843","48","48","48","3.344395637512207","3.344395637512207","3.344395637512207","","","","","",""
"528027","50","50","50","3.1583938598632812","3.1583938598632812","3.1583938598632812","","","","","",""
"537621","","","","","","","50","50","50","5.392584323883057","5.392584323883057","5.392584323883057"
"556344","52","52","52","3.271200180053711","3.271200180053711","3.271200180053711","","","","","",""
"567403","","","","","","","52","52","52","5.465120315551758","5.465120315551758","5.465120315551758"
"582246","54","54","54","2.854506254196167","2.854506254196167","2.854506254196167","","","","","",""
"594913","","","","","","","54","54","54","5.365823745727539","5.365823745727539","5.365823745727539"
"601939","56","56","56","2.945124864578247","2.945124864578247","2.945124864578247","","","","","",""
"610384","","","","","","","56","56","56","5.435812950134277","5.435812950134277","5.435812950134277"
"625440","58","58","58","2.840454339981079","2.840454339981079","2.840454339981079","","","","","",""
"632229","","","","","","","58","58","58","5.445436000823975","5.445436000823975","5.445436000823975"
"638969","60","60","60","2.807746648788452","2.807746648788452","2.807746648788452","","","","","",""
"657230","","","","","","","60","60","60","5.376741886138916","5.376741886138916","5.376741886138916"
"661367","62","62","62","2.911679267883301","2.911679267883301","2.911679267883301","","","","","",""
"684001","64","64","64","2.6017825603485107","2.6017825603485107","2.6017825603485107","","","","","",""
"684031","","","","","","","62","62","62","5.372564792633057","5.372564792633057","5.372564792633057"
"708210","66","66","66","2.8280370235443115","2.8280370235443115","2.8280370235443115","","","","","",""
"708645","","","","","","","64","64","64","5.414336204528809","5.414336204528809","5.414336204528809"
"730891","68","68","68","2.775524139404297","2.775524139404297","2.775524139404297","","","","","",""
"731029","","","","","","","66","66","66","5.366438865661621","5.366438865661621","5.366438865661621"
"752686","","","","","","","68","68","68","5.357038497924805","5.357038497924805","5.357038497924805"
"760147","70","70","70","2.60062313079834","2.60062313079834","2.60062313079834","","","","","",""
"774598","","","","","","","70","70","70","5.353721618652344","5.353721618652344","5.353721618652344"
"779935","72","72","72","2.257415294647217","2.257415294647217","2.257415294647217","","","","","",""
"795146","","","","","","","72","72","72","5.3349080085754395","5.3349080085754395","5.3349080085754395"
"801661","74","74","74","2.471740245819092","2.471740245819092","2.471740245819092","","","","","",""
"823596","76","76","76","2.4718832969665527","2.4718832969665527","2.4718832969665527","","","","","",""
"825690","","","","","","","74","74","74","5.293819904327393","5.293819904327393","5.293819904327393"
"845938","","","","","","","76","76","76","5.319860935211182","5.319860935211182","5.319860935211182"
"850535","78","78","78","2.4368295669555664","2.4368295669555664","2.4368295669555664","","","","","",""
"869136","","","","","","","78","78","78","5.282804012298584","5.282804012298584","5.282804012298584"
"873514","80","80","80","2.3492271900177","2.3492271900177","2.3492271900177","","","","","",""
"894325","82","82","82","2.1304872035980225","2.1304872035980225","2.1304872035980225","","","","","",""
"896148","","","","","","","80","80","80","5.263598442077637","5.263598442077637","5.263598442077637"
"914554","","","","","","","82","82","82","5.2666144371032715","5.2666144371032715","5.2666144371032715"
"921584","84","84","84","2.2232491970062256","2.2232491970062256","2.2232491970062256","","","","","",""
"938704","86","86","86","2.099026918411255","2.099026918411255","2.099026918411255","","","","","",""
"940790","","","","","","","84","84","84","5.169192790985107","5.169192790985107","5.169192790985107"
"957678","88","88","88","2.4747016429901123","2.4747016429901123","2.4747016429901123","","","","","",""
"965511","","","","","","","86","86","86","5.184230327606201","5.184230327606201","5.184230327606201"
"983315","90","90","90","2.329521656036377","2.329521656036377","2.329521656036377","","","","","",""
"990214","","","","","","","88","88","88","5.177986145019531","5.177986145019531","5.177986145019531"
"1009607","92","92","92","2.6770904064178467","2.6770904064178467","2.6770904064178467","","","","","",""
"1011303","","","","","","","90","90","90","5.117496490478516","5.117496490478516","5.117496490478516"
"1033543","94","94","94","2.2741858959198","2.2741858959198","2.2741858959198","","","","","",""
"1039199","","","","","","","92","92","92","5.107771873474121","5.107771873474121","5.107771873474121"
"1051207","96","96","96","2.171353816986084","2.171353816986084","2.171353816986084","","","","","",""
"1062800","","","","","","","94","94","94","5.0603508949279785","5.0603508949279785","5.0603508949279785"
"1081779","98","98","98","2.192412853240967","2.192412853240967","2.192412853240967","","","","","",""
"1091603","","","","","","","96","96","96","5.080208778381348","5.080208778381348","5.080208778381348"
"1098699","100","100","100","2.1163246631622314","2.1163246631622314","2.1163246631622314","","","","","",""
"1117930","","","","","","","98","98","98","5.081136703491211","5.081136703491211","5.081136703491211"
"1118523","102","102","102","2.208216667175293","2.208216667175293","2.208216667175293","","","","","",""
"1141931","104","104","104","2.0983805656433105","2.0983805656433105","2.0983805656433105","","","","","",""
"1147083","","","","","","","100","100","100","5.003604412078857","5.003604412078857","5.003604412078857"
"1163564","106","106","106","2.042212963104248","2.042212963104248","2.042212963104248","","","","","",""
"1169250","","","","","","","102","102","102","5.01291036605835","5.01291036605835","5.01291036605835"
"1191781","108","108","108","1.9988360404968262","1.9988360404968262","1.9988360404968262","","","","","",""
"1195181","","","","","","","104","104","104","5.02128791809082","5.02128791809082","5.02128791809082"
"1214687","110","110","110","1.84201979637146","1.84201979637146","1.84201979637146","","","","","",""
"1215258","","","","","","","106","106","106","5.009415626525879","5.009415626525879","5.009415626525879"
"1233651","112","112","112","1.8293462991714478","1.8293462991714478","1.8293462991714478","","","","","",""
"1243603","","","","","","","108","108","108","4.902302265167236","4.902302265167236","4.902302265167236"
"1261749","114","114","114","2.1024537086486816","2.1024537086486816","2.1024537086486816","","","","","",""
"1269949","","","","","","","110","110","110","4.935052871704102","4.935052871704102","4.935052871704102"
"1286313","116","116","116","1.723756194114685","1.723756194114685","1.723756194114685","","","","","",""
"1292149","","","","","","","112","112","112","4.856059551239014","4.856059551239014","4.856059551239014"
"1313074","118","118","118","1.877088189125061","1.877088189125061","1.877088189125061","","","","","",""
"1317217","","","","","","","114","114","114","4.8399457931518555","4.8399457931518555","4.8399457931518555"
"1339787","","","","","","","116","116","116","4.8276047706604","4.8276047706604","4.8276047706604"
"1342961","120","120","120","1.850908637046814","1.850908637046814","1.850908637046814","","","","","",""
"1369057","122","122","122","1.8475943803787231","1.8475943803787231","1.8475943803787231","","","","","",""
"1376254","","","","","","","118","118","118","4.854203701019287","4.854203701019287","4.854203701019287"
"1392256","124","124","124","1.7003657817840576","1.7003657817840576","1.7003657817840576","","","","","",""
"1394868","","","","","","","120","120","120","4.8174638748168945","4.8174638748168945","4.8174638748168945"
"1411314","126","126","126","1.7814253568649292","1.7814253568649292","1.7814253568649292","","","","","",""
"1421903","","","","","","","122","122","122","4.75629997253418","4.75629997253418","4.75629997253418"
"1435132","128","128","128","1.691066861152649","1.691066861152649","1.691066861152649","","","","","",""
"1449902","","","","","","","124","124","124","4.662158012390137","4.662158012390137","4.662158012390137"
"1452760","130","130","130","1.73955500125885","1.73955500125885","1.73955500125885","","","","","",""
"1475488","132","132","132","1.9121794700622559","1.9121794700622559","1.9121794700622559","","","","","",""
"1478568","","","","","","","126","126","126","4.738110065460205","4.738110065460205","4.738110065460205"
