"global_step","HR-PPO - _step","HR-PPO - _step__MIN","HR-PPO - _step__MAX","HR-PPO - rollout/perc_collided","HR-PPO - rollout/perc_collided__MIN","HR-PPO - rollout/perc_collided__MAX","PPO - _step","PPO - _step__MIN","PPO - _step__MAX","PPO - rollout/perc_collided","PPO - rollout/perc_collided__MIN","PPO - rollout/perc_collided__MAX"
"965511","","","","","","","86","86","86","14.234016418457031","14.234016418457031","14.234016418457031"
"983315","90","90","90","13.505746841430664","13.505746841430664","13.505746841430664","","","","","",""
"990214","","","","","","","88","88","88","9.876543045043945","9.876543045043945","9.876543045043945"
"1009607","92","92","92","13.823529243469238","13.823529243469238","13.823529243469238","","","","","",""
"1011303","","","","","","","90","90","90","10.481586456298828","10.481586456298828","10.481586456298828"
"1033543","94","94","94","13.610315322875977","13.610315322875977","13.610315322875977","","","","","",""
"1039199","","","","","","","92","92","92","10.496614456176758","10.496614456176758","10.496614456176758"
"1051207","96","96","96","7.739307403564453","7.739307403564453","7.739307403564453","","","","","",""
"1062800","","","","","","","94","94","94","13.28021240234375","13.28021240234375","13.28021240234375"
"1081779","98","98","98","13.599061965942383","13.599061965942383","13.599061965942383","","","","","",""
"1091603","","","","","","","96","96","96","13.54838752746582","13.54838752746582","13.54838752746582"
"1098699","100","100","100","9.514169692993164","9.514169692993164","9.514169692993164","","","","","",""
"1117930","","","","","","","98","98","98","13.833528518676758","13.833528518676758","13.833528518676758"
"1118523","102","102","102","10.968921661376953","10.968921661376953","10.968921661376953","","","","","",""
"1141931","104","104","104","10.98901081085205","10.98901081085205","10.98901081085205","","","","","",""
"1147083","","","","","","","100","100","100","13.435897827148438","13.435897827148438","13.435897827148438"
"1163564","106","106","106","11.147011756896973","11.147011756896973","11.147011756896973","","","","","",""
"1169250","","","","","","","102","102","102","11.574697494506836","11.574697494506836","11.574697494506836"
"1191781","108","108","108","11.583011627197266","11.583011627197266","11.583011627197266","","","","","",""
"1195181","","","","","","","104","104","104","12.367490768432617","12.367490768432617","12.367490768432617"
"1214687","110","110","110","8.125","8.125","8.125","","","","","",""
"1215258","","","","","","","106","106","106","13.39648151397705","13.39648151397705","13.39648151397705"
"1233651","112","112","112","8.366534233093262","8.366534233093262","8.366534233093262","","","","","",""
"1243603","","","","","","","108","108","108","11.332633972167969","11.332633972167969","11.332633972167969"
"1261749","114","114","114","8.571428298950195","8.571428298950195","8.571428298950195","","","","","",""
"1269949","","","","","","","110","110","110","10.954446792602539","10.954446792602539","10.954446792602539"
"1286313","116","116","116","7.951070308685303","7.951070308685303","7.951070308685303","","","","","",""
"1292149","","","","","","","112","112","112","10.037641525268555","10.037641525268555","10.037641525268555"
"1313074","118","118","118","9.271523475646973","9.271523475646973","9.271523475646973","","","","","",""
"1317217","","","","","","","114","114","114","10.206421852111816","10.206421852111816","10.206421852111816"
"1339787","","","","","","","116","116","116","10.27918815612793","10.27918815612793","10.27918815612793"
"1342961","120","120","120","8.578431129455566","8.578431129455566","8.578431129455566","","","","","",""
"1369057","122","122","122","9.90099048614502","9.90099048614502","9.90099048614502","","","","","",""
"1376254","","","","","","","118","118","118","10.104249954223633","10.104249954223633","10.104249954223633"
"1392256","124","124","124","8.056872367858887","8.056872367858887","8.056872367858887","","","","","",""
"1394868","","","","","","","120","120","120","8.872179985046387","8.872179985046387","8.872179985046387"
"1411314","126","126","126","7.645875453948975","7.645875453948975","7.645875453948975","","","","","",""
"1421903","","","","","","","122","122","122","9.33191967010498","9.33191967010498","9.33191967010498"
"1435132","128","128","128","6.82539701461792","6.82539701461792","6.82539701461792","","","","","",""
"1449902","","","","","","","124","124","124","11.320755004882812","11.320755004882812","11.320755004882812"
"1452760","130","130","130","5.427975177764893","5.427975177764893","5.427975177764893","","","","","",""
"1475488","132","132","132","6.229508399963379","6.229508399963379","6.229508399963379","","","","","",""
"1478568","","","","","","","126","126","126","10.422812461853027","10.422812461853027","10.422812461853027"
"1495687","134","134","134","7.734806537628174","7.734806537628174","7.734806537628174","","","","","",""
"1503928","","","","","","","128","128","128","9.717514038085938","9.717514038085938","9.717514038085938"
"1523128","136","136","136","7.3972601890563965","7.3972601890563965","7.3972601890563965","","","","","",""
"1531535","","","","","","","130","130","130","10.114703178405762","10.114703178405762","10.114703178405762"
"1551370","138","138","138","7.801418304443359","7.801418304443359","7.801418304443359","","","","","",""
"1555004","","","","","","","132","132","132","8.991494178771973","8.991494178771973","8.991494178771973"
"1578293","140","140","140","9.620991706848145","9.620991706848145","9.620991706848145","","","","","",""
"1578782","","","","","","","134","134","134","9.58737850189209","9.58737850189209","9.58737850189209"
"1601743","","","","","","","136","136","136","8.224076271057129","8.224076271057129","8.224076271057129"
"1605155","142","142","142","9.838274955749512","9.838274955749512","9.838274955749512","","","","","",""
"1627732","144","144","144","8.053690910339355","8.053690910339355","8.053690910339355","","","","","",""
"1628513","","","","","","","138","138","138","9.677419662475586","9.677419662475586","9.677419662475586"
"1649605","146","146","146","7.770270347595215","7.770270347595215","7.770270347595215","","","","","",""
"1651184","","","","","","","140","140","140","8.066581726074219","8.066581726074219","8.066581726074219"
"1672554","148","148","148","6.280193328857422","6.280193328857422","6.280193328857422","","","","","",""
"1673867","","","","","","","142","142","142","8.374383926391602","8.374383926391602","8.374383926391602"
"1695649","150","150","150","3.67278790473938","3.67278790473938","3.67278790473938","","","","","",""
"1703373","","","","","","","144","144","144","8.699999809265137","8.699999809265137","8.699999809265137"
"1718102","152","152","152","5.38194465637207","5.38194465637207","5.38194465637207","","","","","",""
"1728849","","","","","","","146","146","146","7.538280487060547","7.538280487060547","7.538280487060547"
"1743965","154","154","154","5.007363796234131","5.007363796234131","5.007363796234131","","","","","",""
"1757084","","","","","","","148","148","148","7.078763484954834","7.078763484954834","7.078763484954834"
"1775644","","","","","","","150","150","150","6.666666507720947","6.666666507720947","6.666666507720947"
"1776897","156","156","156","9.371428489685059","9.371428489685059","9.371428489685059","","","","","",""
"1801331","158","158","158","5.305466175079346","5.305466175079346","5.305466175079346","","","","","",""
"1802733","","","","","","","152","152","152","9.564292907714844","9.564292907714844","9.564292907714844"
"1823599","160","160","160","7.131280422210693","7.131280422210693","7.131280422210693","","","","","",""
"1827808","","","","","","","154","154","154","8.69565200805664","8.69565200805664","8.69565200805664"
"1845282","162","162","162","4.690117359161377","4.690117359161377","4.690117359161377","","","","","",""
"1852574","","","","","","","156","156","156","10.352422714233398","10.352422714233398","10.352422714233398"
"1873307","","","","","","","158","158","158","7.88770055770874","7.88770055770874","7.88770055770874"
"1877128","164","164","164","4.878048896789551","4.878048896789551","4.878048896789551","","","","","",""
"1897617","166","166","166","5.671077728271484","5.671077728271484","5.671077728271484","","","","","",""
"1898185","","","","","","","160","160","160","8.089887619018555","8.089887619018555","8.089887619018555"
"1927468","","","","","","","162","162","162","8.866994857788086","8.866994857788086","8.866994857788086"
"1929591","168","168","168","7.1849236488342285","7.1849236488342285","7.1849236488342285","","","","","",""
"1950946","","","","","","","164","164","164","8.108108520507812","8.108108520507812","8.108108520507812"
"1959889","170","170","170","6.080206871032715","6.080206871032715","6.080206871032715","","","","","",""
"1972418","","","","","","","166","166","166","7.07732629776001","7.07732629776001","7.07732629776001"
"1987420","172","172","172","8.928571701049805","8.928571701049805","8.928571701049805","","","","","",""
"1992119","","","","","","","168","168","168","7.0323486328125","7.0323486328125","7.0323486328125"
"2013738","174","174","174","5.730659008026123","5.730659008026123","5.730659008026123","","","","","",""
