"global_step","HR-PPO - _step","HR-PPO - _step__MIN","HR-PPO - _step__MAX","HR-PPO - regularize/tau_entropy","HR-PPO - regularize/tau_entropy__MIN","HR-PPO - regularize/tau_entropy__MAX","PPO - _step","PPO - _step__MIN","PPO - _step__MAX","PPO - regularize/tau_entropy","PPO - regularize/tau_entropy__MIN","PPO - regularize/tau_entropy__MAX"
"537621","","","","","","","50","50","50","0.9002107977867126","0.9002107977867126","0.9002107977867126"
"556344","52","52","52","0.4331124424934387","0.4331124424934387","0.4331124424934387","","","","","",""
"567403","","","","","","","52","52","52","0.7814054489135742","0.7814054489135742","0.7814054489135742"
"582246","54","54","54","0.36879321932792664","0.36879321932792664","0.36879321932792664","","","","","",""
"594913","","","","","","","54","54","54","0.7018336057662964","0.7018336057662964","0.7018336057662964"
"601939","56","56","56","0.3598024249076843","0.3598024249076843","0.3598024249076843","","","","","",""
"610384","","","","","","","56","56","56","0.5929626822471619","0.5929626822471619","0.5929626822471619"
"625440","58","58","58","0.3817750811576843","0.3817750811576843","0.3817750811576843","","","","","",""
"632229","","","","","","","58","58","58","0.6986863017082214","0.6986863017082214","0.6986863017082214"
"638969","60","60","60","0.3866163194179535","0.3866163194179535","0.3866163194179535","","","","","",""
"657230","","","","","","","60","60","60","0.6993171572685242","0.6993171572685242","0.6993171572685242"
"661367","62","62","62","0.3947867155075073","0.3947867155075073","0.3947867155075073","","","","","",""
"684001","64","64","64","0.3014070689678192","0.3014070689678192","0.3014070689678192","","","","","",""
"684031","","","","","","","62","62","62","0.5987375378608704","0.5987375378608704","0.5987375378608704"
"708210","66","66","66","0.33921584486961365","0.33921584486961365","0.33921584486961365","","","","","",""
"708645","","","","","","","64","64","64","0.7414000630378723","0.7414000630378723","0.7414000630378723"
"730891","68","68","68","0.38865357637405396","0.38865357637405396","0.38865357637405396","","","","","",""
"731029","","","","","","","66","66","66","0.6549676656723022","0.6549676656723022","0.6549676656723022"
"752686","","","","","","","68","68","68","0.7237018942832947","0.7237018942832947","0.7237018942832947"
"760147","70","70","70","0.36582714319229126","0.36582714319229126","0.36582714319229126","","","","","",""
"774598","","","","","","","70","70","70","0.6174548864364624","0.6174548864364624","0.6174548864364624"
"779935","72","72","72","0.2876456677913666","0.2876456677913666","0.2876456677913666","","","","","",""
"795146","","","","","","","72","72","72","0.6831851601600647","0.6831851601600647","0.6831851601600647"
"801661","74","74","74","0.260779470205307","0.260779470205307","0.260779470205307","","","","","",""
"823596","76","76","76","0.3344932198524475","0.3344932198524475","0.3344932198524475","","","","","",""
"825690","","","","","","","74","74","74","0.6253868341445923","0.6253868341445923","0.6253868341445923"
"845938","","","","","","","76","76","76","0.7846021056175232","0.7846021056175232","0.7846021056175232"
"850535","78","78","78","0.3990370035171509","0.3990370035171509","0.3990370035171509","","","","","",""
"869136","","","","","","","78","78","78","0.8577997088432312","0.8577997088432312","0.8577997088432312"
"873514","80","80","80","0.3411343991756439","0.3411343991756439","0.3411343991756439","","","","","",""
"894325","82","82","82","0.3022530972957611","0.3022530972957611","0.3022530972957611","","","","","",""
"896148","","","","","","","80","80","80","0.6280488967895508","0.6280488967895508","0.6280488967895508"
"914554","","","","","","","82","82","82","0.756251871585846","0.756251871585846","0.756251871585846"
"921584","84","84","84","0.3103024959564209","0.3103024959564209","0.3103024959564209","","","","","",""
"938704","86","86","86","0.3578421473503113","0.3578421473503113","0.3578421473503113","","","","","",""
"940790","","","","","","","84","84","84","0.6053913831710815","0.6053913831710815","0.6053913831710815"
"957678","88","88","88","0.4038919508457184","0.4038919508457184","0.4038919508457184","","","","","",""
"965511","","","","","","","86","86","86","0.6722984910011292","0.6722984910011292","0.6722984910011292"
"983315","90","90","90","0.384594589471817","0.384594589471817","0.384594589471817","","","","","",""
"990214","","","","","","","88","88","88","0.7046946287155151","0.7046946287155151","0.7046946287155151"
"1009607","92","92","92","0.4946405589580536","0.4946405589580536","0.4946405589580536","","","","","",""
"1011303","","","","","","","90","90","90","0.754501461982727","0.754501461982727","0.754501461982727"
"1033543","94","94","94","0.32661956548690796","0.32661956548690796","0.32661956548690796","","","","","",""
