"global_step","HR-PPO - _step","HR-PPO - _step__MIN","HR-PPO - _step__MAX","HR-PPO - regularize/kl_div","HR-PPO - regularize/kl_div__MIN","HR-PPO - regularize/kl_div__MAX","PPO - _step","PPO - _step__MIN","PPO - _step__MAX","PPO - regularize/kl_div","PPO - regularize/kl_div__MIN","PPO - regularize/kl_div__MAX"
"823596","76","76","76","1.5363966226577759","1.5363966226577759","1.5363966226577759","","","","","",""
"825690","","","","","","","74","74","74","7.154268741607666","7.154268741607666","7.154268741607666"
"845938","","","","","","","76","76","76","6.591736793518066","6.591736793518066","6.591736793518066"
"850535","78","78","78","1.5058000087738037","1.5058000087738037","1.5058000087738037","","","","","",""
"869136","","","","","","","78","78","78","6.740965843200684","6.740965843200684","6.740965843200684"
"873514","80","80","80","1.4342098236083984","1.4342098236083984","1.4342098236083984","","","","","",""
"894325","82","82","82","1.4315265417099","1.4315265417099","1.4315265417099","","","","","",""
"896148","","","","","","","80","80","80","7.09016752243042","7.09016752243042","7.09016752243042"
"914554","","","","","","","82","82","82","6.926520347595215","6.926520347595215","6.926520347595215"
"921584","84","84","84","1.3336454629898071","1.3336454629898071","1.3336454629898071","","","","","",""
"938704","86","86","86","1.348151683807373","1.348151683807373","1.348151683807373","","","","","",""
"940790","","","","","","","84","84","84","7.186392784118652","7.186392784118652","7.186392784118652"
"957678","88","88","88","1.6277658939361572","1.6277658939361572","1.6277658939361572","","","","","",""
"965511","","","","","","","86","86","86","7.116875648498535","7.116875648498535","7.116875648498535"
"983315","90","90","90","1.4711637496948242","1.4711637496948242","1.4711637496948242","","","","","",""
"990214","","","","","","","88","88","88","6.9663987159729","6.9663987159729","6.9663987159729"
"1009607","92","92","92","2.004014015197754","2.004014015197754","2.004014015197754","","","","","",""
"1011303","","","","","","","90","90","90","7.056249618530273","7.056249618530273","7.056249618530273"
"1033543","94","94","94","1.31918203830719","1.31918203830719","1.31918203830719","","","","","",""
"1039199","","","","","","","92","92","92","6.9549431800842285","6.9549431800842285","6.9549431800842285"
"1051207","96","96","96","1.47548508644104","1.47548508644104","1.47548508644104","","","","","",""
"1062800","","","","","","","94","94","94","7.074575424194336","7.074575424194336","7.074575424194336"
"1081779","98","98","98","1.5790631771087646","1.5790631771087646","1.5790631771087646","","","","","",""
"1091603","","","","","","","96","96","96","7.008189678192139","7.008189678192139","7.008189678192139"
"1098699","100","100","100","1.4548430442810059","1.4548430442810059","1.4548430442810059","","","","","",""
"1117930","","","","","","","98","98","98","7.417897701263428","7.417897701263428","7.417897701263428"
"1118523","102","102","102","1.3851542472839355","1.3851542472839355","1.3851542472839355","","","","","",""
"1141931","104","104","104","1.3879262208938599","1.3879262208938599","1.3879262208938599","","","","","",""
"1147083","","","","","","","100","100","100","7.065895080566406","7.065895080566406","7.065895080566406"
"1163564","106","106","106","1.399970293045044","1.399970293045044","1.399970293045044","","","","","",""
"1169250","","","","","","","102","102","102","6.9404215812683105","6.9404215812683105","6.9404215812683105"
"1191781","108","108","108","1.3602643013000488","1.3602643013000488","1.3602643013000488","","","","","",""
"1195181","","","","","","","104","104","104","7.037902355194092","7.037902355194092","7.037902355194092"
"1214687","110","110","110","1.39778470993042","1.39778470993042","1.39778470993042","","","","","",""
"1215258","","","","","","","106","106","106","7.1157145500183105","7.1157145500183105","7.1157145500183105"
"1233651","112","112","112","1.4039913415908813","1.4039913415908813","1.4039913415908813","","","","","",""
