Reg. weight,traffic_scene,agent_id,act_acc,accel_val_mae,steer_val_mae,ADE,speed_mae,goal_rate,off_road,collision_rate,Agent,Train agent,Dataset,Eval mode
0.0,tfrecord-00022-of-01000_40.json,6,0.0,3.8285714285714287,0.11285714285714286,0.32511152851651365,1.887974807194301,0.0,0.0,1.0,PPO,Self-play,data/train_no_tl,Log-replay
0.0,tfrecord-00022-of-01000_46.json,18,0.0,3.954545454545455,0.056818181818181816,2.49552083179452,8.542843211780895,1.0,0.0,0.0,PPO,Self-play,data/train_no_tl,Log-replay
0.0,tfrecord-00022-of-01000_47.json,65,0.0,4.72,0.10400000000000002,1.0626647675157024,4.726198368500918,0.0,0.0,1.0,PPO,Self-play,data/train_no_tl,Log-replay
0.0,tfrecord-00022-of-01000_50.json,6,0.0,2.2758620689655173,0.07551724137931035,2.2117999510834485,6.5974065353130475,1.0,0.0,0.0,PPO,Self-play,data/train_no_tl,Log-replay
0.0,tfrecord-00023-of-01000_2.json,28,0.0,3.9684210526315793,0.028947368421052628,1.990824262804512,7.344008696706672,0.0,0.0,1.0,PPO,Self-play,data/train_no_tl,Log-replay
0.0,tfrecord-00026-of-01000_460.json,63,0.0,4.0,0.11666666666666667,0.6336742569190865,3.400250084557532,1.0,0.0,0.0,PPO,Self-play,data/train_no_tl,Log-replay
0.0,tfrecord-00026-of-01000_463.json,120,0.0,3.6000000000000005,0.3,0.00048828125,0.0002279731270391494,1.0,0.0,0.0,PPO,Self-play,data/train_no_tl,Log-replay
0.0,tfrecord-00026-of-01000_465.json,23,0.0,4.0,0.3,0.010381001770248682,0.010521719668759033,1.0,0.0,0.0,PPO,Self-play,data/train_no_tl,Log-replay
0.0,tfrecord-00026-of-01000_469.json,4,0.0,3.9094339622641505,0.03169811320754717,3.3107134332162786,10.307999700870154,1.0,0.0,0.0,PPO,Self-play,data/train_no_tl,Log-replay
0.0,tfrecord-00026-of-01000_471.json,45,0.0,4.643478260869565,0.06869565217391305,1.1210744936700678,5.316765681557033,1.0,0.0,0.0,PPO,Self-play,data/train_no_tl,Log-replay
0.0,tfrecord-00028-of-01000_463.json,7,0.0,3.4836363636363634,0.057818181818181824,2.794423620007024,8.97684870633212,1.0,0.0,0.0,PPO,Self-play,data/train_no_tl,Log-replay
0.0,tfrecord-00031-of-01000_0.json,6,0.0,4.971428571428571,0.12857142857142856,0.2633717507687469,1.622410501752581,0.0,1.0,0.0,PPO,Self-play,data/train_no_tl,Log-replay
0.0,tfrecord-00031-of-01000_10.json,6,0.0,3.0666666666666673,0.14133333333333337,0.4848100517381286,2.2122982343037925,0.0,0.0,1.0,PPO,Self-play,data/train_no_tl,Log-replay
0.0,tfrecord-00031-of-01000_13.json,28,0.0,3.8,0.05500000000000001,0.16677218998264465,1.3648245483636856,1.0,0.0,0.0,PPO,Self-play,data/train_no_tl,Log-replay
0.0,tfrecord-00031-of-01000_16.json,41,0.0,4.658823529411765,0.06235294117647059,0.6456408646236872,3.5270831795299755,0.0,0.0,1.0,PPO,Self-play,data/train_no_tl,Log-replay
0.0,tfrecord-00031-of-01000_17.json,39,0.0,3.2526315789473674,0.15315789473684208,1.221186894471208,5.007505335305867,1.0,0.0,0.0,PPO,Self-play,data/train_no_tl,Log-replay
0.0,tfrecord-00031-of-01000_18.json,11,0.0,4.342857142857143,0.06071428571428572,1.3669135383621678,5.868266327040536,1.0,0.0,0.0,PPO,Self-play,data/train_no_tl,Log-replay
