Unnamed: 0,Reg. weight,traffic_scene,agent_id,act_acc,accel_val_mae,steer_val_mae,ADE,speed_mae,goal_rate,off_road,collision_rate,Agent,Train agent,Dataset,Eval mode
32,PPO,tfrecord-00000-of-01000_469.json,38,0.0,5.085714285714286,0.0657142857142857,0.2676152623695604,1.9655160903930664,1.0,0.0,0.0,PPO,Self-play,data/train_no_tl,Self-play
33,PPO,tfrecord-00000-of-01000_469.json,42,0.0,4.228571428571429,0.0685714285714285,0.1441051641810124,1.085763386317662,1.0,0.0,0.0,PPO,Self-play,data/train_no_tl,Self-play
35,PPO,tfrecord-00000-of-01000_469.json,44,0.0,4.329411764705882,0.0623529411764705,0.6865490008741664,3.740598201751709,1.0,0.0,0.0,PPO,Self-play,data/train_no_tl,Self-play
37,PPO,tfrecord-00000-of-01000_469.json,47,0.0,4.01860465116279,0.053953488372093,2.291920535447618,7.976768626723179,1.0,0.0,0.0,PPO,Self-play,data/train_no_tl,Self-play
38,PPO,tfrecord-00000-of-01000_469.json,48,0.0,4.1454545454545455,0.0624242424242424,1.7038777774741782,6.789074131936738,1.0,0.0,0.0,PPO,Self-play,data/train_no_tl,Self-play
39,PPO,tfrecord-00000-of-01000_470.json,0,0.0,3.4060606060606053,0.1539393939393939,1.299291174650815,4.992632938153816,0.0,0.0,1.0,PPO,Self-play,data/train_no_tl,Self-play
40,PPO,tfrecord-00000-of-01000_470.json,1,0.0,4.957575757575757,0.0672727272727272,2.069786911965618,7.746858091065378,0.0,0.0,1.0,PPO,Self-play,data/train_no_tl,Self-play
41,PPO,tfrecord-00000-of-01000_470.json,3,0.0111111111111111,3.058823529411764,0.0419607843137254,2.251260604710969,7.293555727191999,1.0,1.0,0.0,PPO,Self-play,data/train_no_tl,Self-play
43,PPO,tfrecord-00000-of-01000_470.json,16,0.0111111111111111,3.766666666666666,0.0166666666666666,0.4402717387934796,1.9268126487731927,1.0,0.0,0.0,PPO,Self-play,data/train_no_tl,Self-play
44,PPO,tfrecord-00000-of-01000_470.json,19,0.0,2.6823529411764704,0.0470588235294117,2.053931099887042,6.615546441545673,1.0,0.0,0.0,PPO,Self-play,data/train_no_tl,Self-play
45,PPO,tfrecord-00000-of-01000_483.json,4,0.0,4.371428571428571,0.0942857142857142,0.4613104316372699,2.760812614645277,1.0,0.0,0.0,PPO,Self-play,data/train_no_tl,Self-play
46,PPO,tfrecord-00000-of-01000_483.json,53,0.0,0.0,0.04,0.0,0.0,1.0,0.0,0.0,PPO,Self-play,data/train_no_tl,Self-play
47,PPO,tfrecord-00000-of-01000_483.json,110,0.0,4.0,0.0544827586206896,1.3188724465892945,5.564219573448444,1.0,0.0,0.0,PPO,Self-play,data/train_no_tl,Self-play
48,PPO,tfrecord-00000-of-01000_485.json,2,0.0,4.2,0.154,0.2738403261135632,1.9383468329906464,1.0,0.0,0.0,PPO,Self-play,data/train_no_tl,Self-play
49,PPO,tfrecord-00000-of-01000_485.json,11,0.0,3.7200000000000006,0.0712,2.6930145990650804,8.76690092086792,1.0,0.0,0.0,PPO,Self-play,data/train_no_tl,Self-play
50,PPO,tfrecord-00000-of-01000_485.json,13,0.0222222222222222,3.0775510204081624,0.0506122448979591,2.3087067117226847,7.569182201307647,1.0,0.0,0.0,PPO,Self-play,data/train_no_tl,Self-play
51,PPO,tfrecord-00000-of-01000_485.json,15,0.0,2.736842105263157,0.0757894736842105,0.407188375966768,2.2550005159879984,1.0,0.0,0.0,PPO,Self-play,data/train_no_tl,Self-play
52,PPO,tfrecord-00000-of-01000_485.json,16,0.0,3.3599999999999994,0.112,0.2180463279401531,1.636043405532837,1.0,0.0,0.0,PPO,Self-play,data/train_no_tl,Self-play
53,PPO,tfrecord-00000-of-01000_485.json,17,0.0,3.76,0.073,0.6772770212657202,3.205226923152805,1.0,0.0,0.0,PPO,Self-play,data/train_no_tl,Self-play
54,PPO,tfrecord-00000-of-01000_485.json,18,0.0,3.16734693877551,0.0612244897959183,2.218229597142708,7.584546244874293,1.0,0.0,0.0,PPO,Self-play,data/train_no_tl,Self-play
55,PPO,tfrecord-00002-of-01000_112.json,4,0.0,4.160000000000001,0.112,1.5341654829196911,5.769951423009236,0.0,1.0,0.0,PPO,Self-play,data/train_no_tl,Self-play
56,PPO,tfrecord-00002-of-01000_112.json,8,0.0,3.4162162162162164,0.1037837837837837,1.675600436061934,6.101787232063912,1.0,0.0,0.0,PPO,Self-play,data/train_no_tl,Self-play
57,PPO,tfrecord-00002-of-01000_112.json,11,0.0,4.446153846153847,0.0815384615384615,1.3278000495487774,5.965503490888155,1.0,0.0,0.0,PPO,Self-play,data/train_no_tl,Self-play
58,PPO,tfrecord-00002-of-01000_115.json,0,0.0,3.5259259259259257,0.0977777777777777,1.1334059710548685,4.857787149923819,1.0,0.0,0.0,PPO,Self-play,data/train_no_tl,Self-play
59,PPO,tfrecord-00002-of-01000_115.json,45,0.0,8.0,0.22,0.0,0.0,1.0,0.0,0.0,PPO,Self-play,data/train_no_tl,Self-play
60,PPO,tfrecord-00002-of-01000_115.json,69,0.0,3.2,0.0,0.0,0.0,1.0,0.0,0.0,PPO,Self-play,data/train_no_tl,Self-play
61,PPO,tfrecord-00002-of-01000_115.json,94,0.0,4.427586206896552,0.093103448275862,1.6584877444008828,6.794219165012755,1.0,0.0,0.0,PPO,Self-play,data/train_no_tl,Self-play
62,PPO,tfrecord-00002-of-01000_115.json,136,0.0,4.574999999999999,0.0825,0.646983959081272,3.613310933113098,1.0,0.0,0.0,PPO,Self-play,data/train_no_tl,Self-play
63,PPO,tfrecord-00002-of-01000_123.json,1,0.0,4.275,0.075625,1.7351205094357651,7.205401003360748,1.0,0.0,0.0,PPO,Self-play,data/train_no_tl,Self-play
64,PPO,tfrecord-00002-of-01000_123.json,2,0.0,3.424,0.0904,0.8883044993665661,4.036409540176392,1.0,0.0,0.0,PPO,Self-play,data/train_no_tl,Self-play
65,PPO,tfrecord-00002-of-01000_123.json,15,0.0,4.8,0.18,0.0,0.0,1.0,0.0,0.0,PPO,Self-play,data/train_no_tl,Self-play
66,PPO,tfrecord-00002-of-01000_123.json,19,0.0,3.3333333333333326,0.0333333333333333,0.0150528751110594,0.2807793219884236,0.0,1.0,0.0,PPO,Self-play,data/train_no_tl,Self-play
67,PPO,tfrecord-00002-of-01000_123.json,34,0.0,5.5,0.11,0.0466213417888131,0.4330346137285232,1.0,0.0,0.0,PPO,Self-play,data/train_no_tl,Self-play
68,PPO,tfrecord-00002-of-01000_123.json,49,0.0,3.819354838709677,0.1116129032258064,1.5079920187702074,5.940356639123732,1.0,0.0,0.0,PPO,Self-play,data/train_no_tl,Self-play
69,PPO,tfrecord-00002-of-01000_514.json,0,0.0,4.29090909090909,0.0436363636363636,0.3159079916244451,2.160315491936424,1.0,0.0,0.0,PPO,Self-play,data/train_no_tl,Self-play
70,PPO,tfrecord-00002-of-01000_514.json,1,0.0,3.678048780487805,0.0726829268292682,1.937468343604856,6.997221783893864,1.0,0.0,0.0,PPO,Self-play,data/train_no_tl,Self-play
71,PPO,tfrecord-00002-of-01000_514.json,2,0.0,4.369230769230769,0.0738461538461538,0.4241515484234334,2.6592907355381894,1.0,0.0,0.0,PPO,Self-play,data/train_no_tl,Self-play
72,PPO,tfrecord-00002-of-01000_514.json,3,0.0,3.5478260869565217,0.08,1.132320447975687,5.250877805378126,1.0,0.0,0.0,PPO,Self-play,data/train_no_tl,Self-play
73,PPO,tfrecord-00002-of-01000_514.json,4,0.0,4.1090909090909085,0.0709090909090909,0.8797217552590538,4.239166714928367,1.0,0.0,0.0,PPO,Self-play,data/train_no_tl,Self-play
74,PPO,tfrecord-00002-of-01000_514.json,5,0.0,4.104347826086957,0.0713043478260869,0.9779938263504286,4.621937648109768,1.0,0.0,0.0,PPO,Self-play,data/train_no_tl,Self-play
75,PPO,tfrecord-00002-of-01000_514.json,6,0.0,4.2444444444444445,0.0644444444444444,2.016314004658656,7.534818940692478,1.0,0.0,0.0,PPO,Self-play,data/train_no_tl,Self-play
76,PPO,tfrecord-00002-of-01000_514.json,7,0.0,4.345454545454545,0.06,0.9420358814993324,4.587859717282382,1.0,0.0,0.0,PPO,Self-play,data/train_no_tl,Self-play
77,PPO,tfrecord-00002-of-01000_514.json,8,0.0,4.047058823529412,0.0705882352941176,0.6144079838117644,3.4287196608150707,1.0,0.0,0.0,PPO,Self-play,data/train_no_tl,Self-play
78,PPO,tfrecord-00002-of-01000_514.json,9,0.0,4.2,0.070625,1.5534688555335727,6.277462542057037,1.0,0.0,0.0,PPO,Self-play,data/train_no_tl,Self-play
79,PPO,tfrecord-00002-of-01000_514.json,10,0.0111111111111111,3.94,0.048,0.4197203828313237,2.696472644805908,0.0,0.0,1.0,PPO,Self-play,data/train_no_tl,Self-play
80,PPO,tfrecord-00002-of-01000_514.json,11,0.0,4.5375,0.055625,1.831212640502085,7.214880794286728,1.0,0.0,0.0,PPO,Self-play,data/train_no_tl,Self-play
81,PPO,tfrecord-00002-of-01000_514.json,12,0.0111111111111111,3.819354838709677,0.0425806451612903,1.3882820863147876,5.6595917824775945,1.0,0.0,0.0,PPO,Self-play,data/train_no_tl,Self-play
82,PPO,tfrecord-00002-of-01000_514.json,13,0.0,4.622222222222223,0.1022222222222222,0.7334344421447123,3.852106362581253,1.0,0.0,0.0,PPO,Self-play,data/train_no_tl,Self-play
83,PPO,tfrecord-00002-of-01000_514.json,14,0.0,4.184615384615384,0.063076923076923,2.145992305266894,7.6952014947548895,1.0,0.0,0.0,PPO,Self-play,data/train_no_tl,Self-play
